Aeg, Temperatuur
2025-09-06 16:05:00, 24.065395189
2025-09-06 16:10:00, 23.9952666667
2025-09-06 16:15:00, 23.6835472973
2025-09-06 16:20:00, 23.5195959596
2025-09-06 16:25:00, 23.6115824916
2025-09-06 16:30:00, 23.9911904762
2025-09-06 16:35:00, 23.5669491525
2025-09-06 16:40:00, 23.6532659933
2025-09-06 16:45:00, 23.700472973
2025-09-06 16:50:00, 23.7392567568
2025-09-06 16:55:00, 23.5608783784
2025-09-06 17:00:00, 23.5504067797
2025-09-06 17:05:00, 23.3672147651
2025-09-06 17:10:00, 23.405559322
2025-09-06 17:15:00, 23.4161824324
2025-09-06 17:20:00, 23.3618644068
2025-09-06 17:25:00, 23.4264765101
2025-09-06 17:30:00, 23.5094648829
2025-09-06 17:35:00, 23.4045973154
2025-09-06 17:40:00, 23.2916835017
2025-09-06 17:45:00, 23.400443686
2025-09-06 17:50:00, 23.3692542373
2025-09-06 17:55:00, 23.1469
2025-09-06 18:00:00, 23.1538720539
2025-09-06 18:05:00, 23.2994630872
2025-09-06 18:10:00, 23.1506756757
2025-09-06 18:15:00, 23.0783277592
2025-09-06 18:20:00, 23.0636789298
2025-09-06 18:25:00, 23.0498657718
2025-09-06 18:30:00, 22.9595286195
2025-09-06 18:35:00, 22.8320748299
2025-09-06 18:40:00, 22.7767003367
2025-09-06 18:45:00, 22.6758922559
2025-09-06 18:50:00, 22.5593288591
2025-09-06 18:55:00, 22.4702372881
2025-09-06 19:00:00, 22.4325252525
2025-09-06 19:05:00, 22.3968135593
2025-09-06 19:10:00, 22.2611036789
2025-09-06 19:15:00, 22.1918918919
2025-09-06 19:20:00, 22.1405369128
2025-09-06 19:25:00, 22.0522591362
2025-09-06 19:30:00, 21.9623255814
2025-09-06 19:35:00, 21.8648160535
2025-09-06 19:40:00, 21.7619322034
2025-09-06 19:45:00, 21.7178187919
2025-09-06 19:50:00, 21.6272333333
2025-09-06 19:55:00, 21.5513559322
2025-09-06 20:00:00, 21.4982666667
2025-09-06 20:05:00, 21.4273400673
2025-09-06 20:10:00, 21.3365436242
2025-09-06 20:15:00, 21.2952702703
2025-09-06 20:20:00, 21.2630100334
2025-09-06 20:25:00, 21.2045454545
2025-09-06 20:30:00, 21.2104391892
2025-09-06 20:35:00, 21.1760535117
2025-09-06 20:40:00, 21.1166666667
2025-09-06 20:45:00, 21.1337248322
2025-09-06 20:50:00, 21.1486287625
2025-09-06 20:55:00, 21.1226174497
2025-09-06 21:00:00, 21.1015100671
2025-09-06 21:05:00, 21.1227
2025-09-06 21:10:00, 21.1194594595
2025-09-06 21:15:00, 21.1244630872
2025-09-06 21:20:00, 21.1557239057
2025-09-06 21:25:00, 21.1530333333
2025-09-06 21:30:00, 21.1193959732
2025-09-06 21:35:00, 21.101
2025-09-06 21:40:00, 21.0820666667
2025-09-06 21:45:00, 21.0298648649
2025-09-06 21:50:00, 20.9831543624
2025-09-06 21:55:00, 20.9625666667
2025-09-06 22:00:00, 20.9343434343
2025-09-06 22:05:00, 20.9056953642
2025-09-06 22:10:00, 20.8762080537
2025-09-06 22:15:00, 20.8658922559
2025-09-06 22:20:00, 20.8233110368
2025-09-06 22:25:00, 20.7854697987
2025-09-06 22:30:00, 20.7347986577
2025-09-06 22:35:00, 20.6988372093
2025-09-06 22:40:00, 20.687458194
2025-09-06 22:45:00, 20.6727666667
2025-09-06 22:50:00, 20.6305685619
2025-09-06 22:55:00, 20.6728956229
2025-09-06 23:00:00, 20.6776923077
2025-09-06 23:05:00, 20.6246333333
2025-09-06 23:10:00, 20.538
2025-09-06 23:15:00, 20.3608026756
2025-09-06 23:20:00, 20.2566777409
2025-09-06 23:25:00, 20.2115719064
2025-09-06 23:30:00, 20.1481063123
2025-09-06 23:35:00, 20.1682274247
2025-09-06 23:40:00, 20.1680602007
2025-09-06 23:45:00, 20.0522259136
2025-09-06 23:50:00, 19.941638796
2025-09-06 23:55:00, 19.9445454545
2025-09-07 00:00:00, 19.9729333333
2025-09-07 00:05:00, 19.9259666667
2025-09-07 00:10:00, 19.7978187919
2025-09-07 00:15:00, 19.7671666667
2025-09-07 00:20:00, 19.7533557047
2025-09-07 00:25:00, 19.7934563758
2025-09-07 00:30:00, 19.8008053691
2025-09-07 00:35:00, 19.7352842809
2025-09-07 00:40:00, 19.6253177258
2025-09-07 00:45:00, 19.5371768707
2025-09-07 00:50:00, 19.4891216216
2025-09-07 00:55:00, 19.4308474576
2025-09-07 01:00:00, 19.4297577855
2025-09-07 01:05:00, 19.3442123288
2025-09-07 01:10:00, 19.270137457
2025-09-07 01:15:00, 19.2406993007
2025-09-07 01:20:00, 19.1983680556
2025-09-07 01:25:00, 19.1523103448
2025-09-07 01:30:00, 19.1428819444
2025-09-07 01:35:00, 19.0998961938
2025-09-07 01:40:00, 19.0707560137
2025-09-07 01:45:00, 19.0627147766
2025-09-07 01:50:00, 19.0412982456
2025-09-07 01:55:00, 18.9969204152
2025-09-07 02:00:00, 18.9387417219
2025-09-07 02:05:00, 18.9397986577
2025-09-07 02:10:00, 18.8977891156
2025-09-07 02:15:00, 18.8486577181
