datetime_hour;Tarbimine;elering_forecast;consumption_hourly;viga;viga_protsent;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent;Ajatempel (UTC)
2025-09-19 00:00:00;627.4;605.675;667.0863654891164;39.68636548911638;6.325528449014406;61.411365489116406;10.139326452159395;21.725000000000023;3.586907169686717;1758240000
2025-09-19 01:00:00;650.4;646.525;669.1982164935035;18.79821649350356;2.8902546884230564;22.67321649350356;3.5069357710070856;3.875;0.5993581068017478;1758243600
2025-09-19 02:00:00;673.9;671.425;687.881803215049;13.981803215049013;2.074759343381661;16.456803215049035;2.4510262821683786;2.4750000000000227;0.3686189820158652;1758247200
2025-09-19 03:00:00;768.0;747.75;764.9493750844774;-3.050624915522576;-0.39721678587533543;17.199375084477424;2.300150462651611;20.25;2.7081243731193583;1758250800
2025-09-19 04:00:00;869.5;842.925;876.3062374234925;6.806237423492462;0.7827760119025258;33.38123742349251;3.9601669690058436;26.575000000000045;3.1527122816383484;1758254400
2025-09-19 05:00:00;953.8;927.8;942.2813620250388;-11.518637974961166;-1.2076575775803278;14.481362025038834;1.5608279828668716;26.0;2.802328087949989;1758258000
2025-09-19 06:00:00;956.4;988.825;959.6658326092328;3.2658326092328025;0.341471414599833;-29.159167390767266;-2.948870365410185;-32.42500000000007;-3.2791444391070277;1758261600
2025-09-19 07:00:00;931.7;985.175;935.3649819562996;3.6649819562995845;0.39336502697215675;-49.810018043700325;-5.0559563573680135;-53.47499999999991;-5.427969650062162;1758265200
2025-09-19 08:00:00;919.1;950.125;986.557317076966;67.45731707696598;7.339497016316611;36.432317076966;3.834476208600553;-31.024999999999977;-3.2653598210761716;1758268800
2025-09-19 09:00:00;889.1;956.25;961.3595654015562;72.25956540155619;8.127270880840872;5.10956540155621;0.5343336367640481;-67.14999999999998;-7.02222222222222;1758272400
2025-09-19 10:00:00;958.9;958.4;956.383535973774;-2.5164640262260036;-0.26243237315945395;-2.0164640262260036;-0.21039900106698703;0.5;0.052170283806343906;1758276000
2025-09-19 11:00:00;883.3;910.4;932.4972964279676;49.19729642796767;5.569715433937243;22.09729642796765;2.427207428379575;-27.100000000000023;-2.9767135325131835;1758279600
2025-09-19 12:00:00;795.2;893.875;915.8312201275196;120.63122012751955;15.169922048229319;21.9562201275196;2.4562964762992143;-98.67499999999995;-11.039015522304569;1758283200
2025-09-19 13:00:00;759.1;906.0;880.0700490714677;120.97004907146766;15.935983279076229;-25.92995092853232;-2.862025488800477;-146.89999999999998;-16.214128035320087;1758286800
2025-09-19 14:00:00;800.1;936.875;871.3072165917961;71.20721659179605;8.899789600274472;-65.56778340820392;-6.998562605278604;-136.77499999999998;-14.599066044029351;1758290400
2025-09-19 15:00:00;856.2;928.525;886.9585212429688;30.758521242968754;3.592445835431996;-41.56647875703118;-4.476613850680508;-72.32499999999993;-7.789235615626928;1758294000
2025-09-19 16:00:00;867.2;893.325;880.6130993733975;13.413099373397472;1.5467134886297822;-12.711900626602528;-1.4229872248736493;-26.125;-2.92446757898861;1758297600
2025-09-19 17:00:00;863.3;880.025;874.3398741229412;11.039874122941228;1.2787992728994821;-5.685125877058795;-0.6460186786805824;-16.725000000000023;-1.9005141899377884;1758301200
2025-09-19 18:00:00;878.3;875.625;857.9086040794501;-20.391395920549826;-2.3216891632186982;-17.71639592054987;-2.0232857582355313;2.6749999999999545;0.30549607423268577;1758304800
2025-09-19 19:00:00;799.3;826.3;816.955690715952;17.655690715952005;2.20889412185062;-9.344309284047995;-1.1308615858705064;-27.0;-3.2675783613699627;1758308400
2025-09-19 20:00:00;784.1;744.6;755.8339827469423;-28.266017253057726;-3.604899534888117;11.233982746942274;1.508727202114192;39.5;5.304861670695676;1758312000
2025-09-19 21:00:00;734.7;718.2;674.7022646918065;-59.99773530819357;-8.166290364528864;-43.49773530819357;-6.056493359536837;16.5;2.297410192147034;1758315600
2025-09-19 22:00:00;727.5;693.625;642.0027968720042;-85.49720312799582;-11.752192869827605;-51.62220312799582;-7.4423792579557855;33.875;4.883762840151379;1758319200
2025-09-19 23:00:00;684.7;704.35;621.4079617879947;-63.29203821200531;-9.243761970498802;-82.94203821200529;-11.775685129836768;-19.649999999999977;-2.7898062043018355;1758322800
