avg_day_temp_date,hour_day_value
2024-03-18,-1.6075
2024-03-19,0.4475
2024-03-20,0.8241666666666667
2024-03-21,2.6149999999999998
2024-03-22,2.6783333333333332
2024-03-23,3.563333333333333
2024-03-24,1.5466666666666666
2024-03-25,0.8300000000000001
2024-03-26,0.8716666666666666
2024-03-27,5.6125
2024-03-28,8.534166666666666
2024-03-29,6.3075
2024-03-30,5.704999999999999
2024-03-31,8.067826086956522
2024-04-01,10.838333333333333
2024-04-02,6.150833333333334
2024-04-03,0.6833333333333332
2024-04-04,-1.4691666666666665
2024-04-05,-0.2575
2024-04-06,3.4508333333333336
2024-04-07,5.156666666666667
2024-04-08,9.226666666666667
2024-04-09,10.521666666666667
2024-04-10,11.258333333333333
2024-04-11,7.655
2024-04-12,9.0975
2024-04-13,7.676666666666667
2024-04-14,7.05
2024-04-15,5.119166666666667
2024-04-16,3.9941666666666666
2024-04-17,3.7433333333333336
2024-04-18,1.6858333333333333
2024-04-19,-1.085
2024-04-20,0.05916666666666667
2024-04-21,2.0716666666666668
2024-04-22,1.6716666666666666
2024-04-23,0.8216666666666667
2024-04-24,3.3508333333333336
2024-04-25,4.030833333333333
2024-04-26,5.339166666666666
2024-04-27,6.984166666666667
2024-04-28,10.049166666666666
2024-04-29,14.045833333333334
2024-04-30,12.039166666666667
2024-05-01,10.981666666666667
2024-05-02,10.262500000000001
2024-05-03,10.815
2024-05-04,11.804166666666667
2024-05-05,9.523333333333333
2024-05-06,7.6125
2024-05-07,5.2375
2024-05-08,3.59
2024-05-09,4.424166666666667
2024-05-10,7.251666666666666
2024-05-11,7.9075
2024-05-12,8.581666666666667
2024-05-13,10.290000000000001
2024-05-14,12.679166666666667
2024-05-15,14.270833333333334
2024-05-16,15.57
2024-05-17,16.3
2024-05-18,16.1925
2024-05-19,17.271666666666665
2024-05-20,15.664166666666667
2024-05-21,13.924166666666666
2024-05-22,15.429166666666667
2024-05-23,18.718333333333334
2024-05-24,19.911666666666665
2024-05-25,20.218333333333334
2024-05-26,19.410833333333333
2024-05-27,20.407500000000002
2024-05-28,21.066666666666666
2024-05-29,20.0525
2024-05-30,20.298333333333332
2024-05-31,21.3275
2024-06-01,19.650000000000002
2024-06-02,18.735833333333336
2024-06-03,18.575
2024-06-04,18.396666666666665
2024-06-05,17.570833333333333
2024-06-06,15.975
2024-06-07,13.809166666666668
2024-06-08,12.614166666666668
2024-06-09,13.004166666666668
2024-06-10,13.058333333333332
2024-06-11,14.049166666666666
2024-06-12,13.736666666666666
2024-06-13,13.733333333333334
2024-06-14,12.841666666666667
2024-06-15,13.67
2024-06-16,17.539166666666667
2024-06-17,18.266666666666666
2024-06-18,16.941666666666666
2024-06-19,14.655
2024-06-20,15.468333333333334
2024-06-21,16.394166666666667
2024-06-22,15.475
2024-06-23,16.74
2024-06-24,18.486666666666668
2024-06-25,18.253333333333334
2024-06-26,19.243333333333336
2024-06-27,20.326666666666664
2024-06-28,24.151666666666667
2024-06-29,20.6975
2024-06-30,18.344166666666666
2024-07-01,19.513333333333332
2024-07-02,17.315
2024-07-03,15.736666666666666
2024-07-04,15.950833333333334
2024-07-05,15.619166666666667
2024-07-06,15.755
2024-07-07,18.201666666666664
2024-07-08,16.625833333333333
2024-07-09,17.019166666666667
2024-07-10,18.05
2024-07-11,20.7175
2024-07-12,19.353333333333335
2024-07-13,19.683333333333334
2024-07-14,19.133333333333333
2024-07-15,18.541666666666668
2024-07-16,20.704166666666666
2024-07-17,21.164166666666667
2024-07-18,18.720833333333335
2024-07-19,17.995
2024-07-20,18.1275
2024-07-21,18.718333333333334
2024-07-22,20.174166666666668
2024-07-23,21.359166666666667
2024-07-24,20.905833333333334
2024-07-25,20.280833333333334
2024-07-26,20.209166666666665
2024-07-27,20.069166666666668
2024-07-28,19.300833333333333
2024-07-29,18.99833333333333
2024-07-30,18.7
2024-07-31,17.584166666666665
2024-08-01,16.705000000000002
2024-08-02,17.224166666666665
2024-08-03,17.2675
2024-08-04,17.6775
2024-08-05,17.5275
2024-08-06,17.865
2024-08-07,17.811666666666667
2024-08-08,18.226666666666667
2024-08-09,19.615
2024-08-10,17.919166666666666
2024-08-11,16.173333333333332
2024-08-12,15.2725
2024-08-13,17.151666666666667
2024-08-14,17.4025
2024-08-15,18.4925
2024-08-16,19.819166666666664
2024-08-17,18.8075
2024-08-18,16.865833333333335
2024-08-19,16.57
2024-08-20,16.165833333333335
2024-08-21,17.991666666666667
2024-08-22,18.23333333333333
2024-08-23,15.7425
2024-08-24,18.00583333333333
2024-08-25,19.593333333333334
2024-08-26,17.350833333333334
2024-08-27,16.593333333333334
2024-08-28,16.695
