datetime_hour;Ajatempel (UTC);Tarbimine;consumption_hourly;elering_forecast;our_day;src
2025-09-21 11:00:00;1758452400;802.4;778.1999764511945;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 12:00:00;1758456000;740.5;751.6679466558827;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 13:00:00;1758459600;736.4;753.3967682003582;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 14:00:00;1758463200;761.3;744.5689125465979;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 15:00:00;1758466800;848.4;752.7699232270696;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 16:00:00;1758470400;901.0;772.4760823341032;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 17:00:00;1758474000;920.7;770.8841827964327;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 18:00:00;1758477600;862.9;774.9339041595119;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 19:00:00;1758481200;793.9;739.8181156739194;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 20:00:00;1758484800;738.2;684.1995557616877;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 21:00:00;1758488400;717.1;659.6439749358033;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 22:00:00;1758492000;679.0;627.3162819284474;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 23:00:00;1758495600;652.3;617.0345626091008;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 00:00:00;1758499200;653.0;612.7542462225393;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 01:00:00;1758502800;664.1;617.4731428851294;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 02:00:00;1758506400;696.1;642.1838667668798;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 03:00:00;1758510000;788.7;728.1995541761182;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 04:00:00;1758513600;973.7;840.8272084130939;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 05:00:00;1758517200;1057.0;923.0066475142338;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 06:00:00;1758520800;1055.4;969.0299856362916;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 07:00:00;1758524400;1123.5;976.0755862421234;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 08:00:00;1758528000;1103.2;966.9637904748042;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 09:00:00;1758531600;1066.3;974.5719344657816;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 10:00:00;1758535200;1099.3;974.2019019085784;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 11:00:00;1758538800;1068.7;958.4288427982292;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 12:00:00;1758542400;971.3;928.0642770831072;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 13:00:00;1758546000;817.9;883.4985300945538;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 14:00:00;1758549600;844.0;859.2008668816588;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 15:00:00;1758553200;893.7;865.0148759549106;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 16:00:00;1758556800;928.6;868.0625138022175;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 17:00:00;1758560400;928.7;848.9213772911859;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 18:00:00;1758564000;890.1;837.6776392904701;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 19:00:00;1758567600;838.8;800.2201574575661;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 20:00:00;1758571200;763.1;734.1582351671743;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-22 21:00:00;1758574800;712.5;737.8917135470194;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
